"id";"title";"author";"year";"isbn"
"428";"Equus : a play";"Peter Shaffer";"1973";"0140260706"
"429";"Warm Bodies";"Isaac Marion";"2010";"0099549344"
"430";"Harvesting the Heart";"Jodi Picoult";"1993";"0140230270"
"431";"Pale Demon";"Kim Harrison";"2011";"0061138061"
"432";"Consent to Kill";"Vince Flynn";"2005";"1416505016"
"433";"I'll Give You the Sun";"Jandy Nelson";"2014";"0803734964"
"434";"Reaper Man";"Terry Pratchett";"1991";"0552152951"
"435";"Sing You Home";"Jodi Picoult";"2011";"1439102724"
"436";"The Brooklyn Follies";"Paul Auster";"2005";"0312426232"
"437";"Plague";"Michael  Grant";"2011";"0061449121"
"438";"The Keep ";"F. Paul Wilson";"1981";"0765357054"
"439";"People of the Book";"Geraldine Brooks";"2008";"067001821X"
"440";"Fairest";"Marissa Meyer";"2015";"1250060559"
"441";"Spells";"Aprilynne Pike";"2009";"0061668060"
"442";"The Auschwitz Escape";"Joel C. Rosenberg";"2014";"1414336241"
"443";"The Survivors Club";"Lisa Gardner";"2002";"0553589458"
"444";"The Vacationers";"Emma Straub";"2014";"1594631573"
"445";"Imajica";"Clive Barker";"1991";"0061094145"
"446";"Pop Goes the Weasel";"James Patterson";"1999";"0446608815"
"447";"Lord Brocktree";"Brian Jacques";"2000";"0142501107"
"448";"Suspect";"Robert Crais";"2013";"0399161481"
"449";"Whispers";"Dean Koontz";"1980";"042520992X"
"450";"In Cold Blood";"Truman Capote";"1965";"0679745580"
"451";"Tar Baby";"Toni Morrison";"1981";"1400033446"
"452";"What Alice Forgot";"Liane Moriarty";"2009";"0141043768"
"453";"Wild Fire";"Nelson DeMille";"2006";"044657967X"
"454";"Area 7";"Matthew Reilly";"2001";"0312983220"
"455";"While I Was Gone";"Sue Miller";"1998";"0345443284"
"456";"The Painter";"Peter Heller";"2014";"0385352093"
"457";"Fool's Quest";"Robin Hobb";"2015";"0553392921"
"458";"Ceremony";"Leslie Marmon Silko";"1977";"0140086838"
"459";"Black Order";"James Rollins";"2006";"0752876457"
"460";"Siege of Darkness";"R.A. Salvatore";"1993";"0786901640"
"461";"On the Fence";"Kasie West";"2014";"0062235672"
"462";"Princess in the Spotlight";"Meg Cabot";"2001";"0064472795"
"463";"Champion";"Marie Lu";"2013";"0399256776"
"464";"Canada";"Richard Ford";"2012";"0061692042"
"465";"Stone Soup";"Jon J. Muth";"2003";"043933909X"
"466";"Rebel Heart";"Moira Young";"2012";"1442430001"
"467";"I Was So Mad (Look-Look)";"Mercer Mayer";"1983";"0307119394"
"468";"Dragon Prince";"Melanie Rawn";"1985";"0756403014"
"469";"The Bronze Bow";"Elizabeth George Speare";"1961";"0395137195"
"470";"Red";"Ted Dekker";"2004";"1595540342"
"471";"Miles to Go";"Richard Paul Evans";"2011";"1439191379"
"472";"After We Fell";"Anna Todd";"2014";"147679250X"
"473";"City of Bones";"Michael Connelly";"2002";"0446699535"
"474";"Dark Prince";"Christine Feehan";"1999";"0843955287"
"475";"Twenty Boy Summer";"Sarah Ockler";"2009";"0316051594"
"476";"Nevermore";"James Patterson";"2012";"0316101842"
"477";"Contact";"Carl Sagan";"1985";"2266079999"
"478";"Class A (Cherub #2)";"Robert Muchamore";"2004";"0340881542"
"479";"The Taking";"Dean Koontz";"2004";"0553584502"
"480";"Dreams from My Father";"Barack Obama";"1995";"1921351438"
"481";"Austenland";"Shannon Hale";"2007";"1596912855"
"482";"Wondrous Strange";"Lesley Livingston";"2009";"1554682746"
"483";"White Cat";"Holly Black";"2010";"1416963960"
"484";"First Drop of Crimson";"Jeaniene Frost";"2010";"0061583227"
"485";"Ricochet";"Sandra Brown";"2006";"1416532358"
"486";"Back on Blossom Street";"Debbie Macomber";"2007";"0778324516"
"487";"When She Woke";"Hillary Jordan";"2011";"1565126297"
"488";"Mister B. Gone";"Clive Barker";"2007";"0060182989"
"489";"Shattered";"K.R. Dwyer, Dean Koontz";"1973";"0425099334"
"490";"The House On Tradd Street";"Karen   White";"2008";"0451225090"
"491";"Dorothy Must Die";"Danielle  Paige";"2014";"0062280678"
"492";"The Shelters of Stone";"Jean M. Auel";"2002";"0553382616"
"493";"Perfect";"Sara Shepard";"2007";"0060887370"
"494";"Rebel Angels";"Libba Bray";"2005";"0385733410"
"495";"Visions of Sugar Plums";"Janet Evanovich";"2002";"0312986343"
"496";"The Bees";"Laline Paull";"2014";"0062331159"
"497";"Light in August";"William Faulkner";"1932";"0679732268"
"498";"Blood Promise";"Richelle Mead";"2009";"1595141987"
"499";"Heart of Darkness";"Joseph Conrad";"1899";"1892295490"
"500";"Fear of Flying";"Erica Jong";"1973";"0451209435"
"501";"Sunset Express";"Robert Crais";"1996";"0345454944"
"502";"The Crystal Cave";"Mary  Stewart";"1970";"0060548258"
"503";"The Blade Itself";"Joe Abercrombie";"2006";"0575079797"
"504";"Red Storm Rising";"Tom Clancy";"1986";"0394298667"
"505";"Sweetheart";"Chelsea Cain";"2008";"031236847X"
"506";"My Blood Approves";"Amanda Hocking";"2010";"0557364639"
"507";"The BFG";"Roald Dahl, Quentin Blake";"1982";"0141311371"
"508";"River God";"Wilbur Smith";"1993";"0312954468"
"509";"Owen";"Kevin Henkes";"1993";"0688114490"
"510";"The Hollow";"Nora Roberts";"2008";"0515144592"
"511";"The Hit";"David Baldacci";"2013";"1455521213"
"512";"Strangers in Death ";"J.D. Robb";"2008";"0399154701"
"513";"Ten Tiny Breaths";"K.A. Tucker";"2012";"0991686004"
"514";"Living Dead Girl";"Elizabeth Scott";"2008";"1416960597"
"515";"Blockade Billy";"Stephen King";"2010";"1587672286"
"516";"Chasing Harry Winston";"Lauren Weisberger";"2008";"0743290119"
"517";"MEG: A Novel of Deep Terror";"Steve Alten";"1997";"0976165910"
"518";"The Fog";"James Herbert";"1975";"0330376152"
"519";"Belong to Me";"Marisa de los Santos";"2008";"0061240273"
"520";"Dragonsinger";"Anne McCaffrey";"1977";"0689860072"
"521";"To Have and to Hold ";"Jane Green";"2002";"0767912276"
"522";"The Best Man";"Kristan Higgins";"2013";"0373777922"
"523";"Maine";"J. Courtney Sullivan";"2011";"0307595129"
"524";"The Overlook";"Michael Connelly";"2007";"0316018953"
"525";"Babyville";"Jane Green";"2001";"0767912241"
"526";"Olympos";"Dan Simmons";"2005";"0380817934"
"527";"John Dies at the End";"David Wong";"2007";"0978970764"
"528";"Black Cherry Blues";"James Lee Burke";"1989";"0380712040"
"529";"Succubus On Top";"Richelle Mead";"2008";"0758216424"
"530";"Honolulu";"Alan Brennert";"2009";"0312360401"
"531";"Dreamland ";"Sarah Dessen";"2000";"0142401757"
"532";"Victims";"Jonathan Kellerman";"2012";"0345505719"
"533";"A Midsummer's Nightmare";"Kody Keplinger";"2012";"0316084220"
"534";"Midnight's Children";"Salman Rushdie";"1981";"0099578514"
"535";"Stars Above";"Marissa Meyer";"2016";"1250091845"
"536";"Magic Slays";"Ilona Andrews";"2011";"0441020429"
"537";"The Son of Neptune ";"Rick Riordan";"2011";"1423140591"
"538";"Prior Bad Acts";"Tami Hoag";"2006";"055358359X"
"539";"All Tomorrow's Parties";"William Gibson";"1999";"0425190447"
"540";"Angel Falls";"Kristin Hannah";"2000";"0345484274"
"541";"The Green Mile";"Stephen King";"1996";"0451933028"
"542";"Asylum";"Madeleine Roux";"2013";"0062220969"
"543";"The Haj";"Leon Uris";"1984";"0553248642"
"544";"Divine Justice";"David Baldacci";"2008";"0446195502"
"545";"Sea of Silver Light";"Tad Williams";"2001";"0641645473"
"546";"The Awakening";"L.J. Smith";"1991";"0061020001"
"547";"The Great Hunt";"Robert Jordan";"1990";"0812517725"
"548";"Double Fudge";"Judy Blume";"2002";"0142408786"
"549";"Eligible";"Curtis Sittenfeld";"2016";"1400068320"
"550";"The Dot";"Peter H. Reynolds";"2003";"0763619612"
"551";"Unnatural Exposure";"Patricia Cornwell";"1997";"0751530492"
"552";"One Good Turn";"Kate Atkinson";"2006";"0316012823"
"553";"Glass Houses";"Rachel Caine";"2006";"0451219945"
"554";"The Johnstown Flood";"David McCullough";"1968";"0844662925"
"555";"The Nature of the Beast";"Louise Penny";"2015";"1250022088"
"556";"The Gemini Contenders";"Robert Ludlum";"1976";"0553282093"
"557";"Lost Souls";"Poppy Z. Brite";"1992";"0440212812"
"558";"My Sister's Keeper";"Jodi Picoult";"2004";"0743454537"
"559";"Icy Sparks";"Gwyn Hyman Rubio";"1998";"0142000205"
"560";"Street Magic";"Tamora Pierce";"2001";"0590396439"
"561";"Think of a Number";"John Verdon";"2010";"0307588920"
"562";"M Train";"Patti Smith";"2015";"1101875100"
"563";"Straight Man";"Richard Russo";"1997";"0375701907"
"564";"Cry, The Beloved Country";"Alan Paton";"1948";"074326195X"
"565";"Night Probe!";"Clive Cussler";"1981";"0553277405"
"566";"Broken Homes";"Ben Aaronovitch";"2013";"0756409608"
"567";"Alice in Zombieland";"Gena Showalter";"2012";"0373210582"
"568";"City of Thieves";"David Benioff";"2008";"0670018708"
"569";"The King of Attolia";"Megan Whalen Turner";"2006";"006083577X"
"570";"It's Kind of a Funny Story";"Ned Vizzini";"2006";"078685197X"
"571";"From Potter's Field";"Patricia Cornwell";"1995";"0425204693"
"572";"Ender's Game";"Orson Scott Card";"1985";"0812550706"
"573";"Addicted";"Zane";"1998";"0743442849"
"574";"A Hunger Like No Other";"Kresley Cole";"2006";"1416509879"
"575";"The Coldest Winter Ever";"Sister Souljah";"1999";"1416521690"
"576";"The Bell Jar";"Sylvia Plath";"1963";"0061148512"
"577";"Cosmopolis";"Don DeLillo";"2003";"0330412744"
"578";"The Secret";"Julie Garwood";"1992";"0671744216"
"579";"Mastiff";"Tamora Pierce";"2011";"0375814701"
"580";"Red Rabbit";"Tom Clancy";"2002";"0399148701"
"581";"Boneshaker ";"Cherie Priest";"2009";"0765318415"
"582";"Cross Fire";"James Patterson";"2010";"031603617X"
"583";"The Gift";"James Patterson, Ned Rust";"2010";"1846054761"
"584";"Point of Impact";"Stephen Hunter";"1993";"0099453452"
"585";"Cometh the Hour";"Jeffrey Archer";"2016";"1466867507"
"586";"The Starter Wife";"Gigi Levangie Grazer";"2005";"0743265025"
"587";"The Places In Between";"Rory Stewart";"2004";"0156031566"
"588";"Girl in Translation";"Jean Kwok";"2010";"1594487561"
"589";"Dark Legend";"Christine Feehan";"2002";"084394952X"
"590";"Castle of Wizardry";"David Eddings";"1984";"0345335708"
"591";"Surface Detail";"Iain M. Banks";"2010";"0316123404"
"592";"The Mediterranean Caper";"Clive Cussler";"1973";"0425197395"
"593";"The Lincoln Lawyer ";"Michael Connelly";"2005";"0739465511"
"594";"The Last Coyote";"Michael Connelly";"1995";"075280944X"
"595";"Princess of Glass";"Jessica Day George";"2010";"1599904780"
"596";"The Host";"Stephenie Meyer";"2008";"0316068047"
"597";"Spider's Bite";"Jennifer Estep";"2010";"1439147973"
"598";"Undead and Unwed";"MaryJanice Davidson";"2004";"042519485X"
"599";"Day by Day Armageddon";"J.L. Bourne";"2004";"1411608313"
"600";"Gateway";"Frederik Pohl";"1977";"0345475836"
"601";"King of the Murgos";"David Eddings";"1988";"0552148032"
"602";"P.S. I Still Love You";"Jenny Han";"2015";"144242673X"
"603";"The Young Elites";"Marie Lu";"2014";"0399167838"
"604";"We3";"Grant Morrison, Frank Quitely";"2005";"1401204953"
"605";"Brick Lane";"Monica Ali";"2003";"0743243315"
"606";"To Sir Phillip, With Love";"Julia Quinn";"2003";"0380820854"
"607";"Illuminae";"Amie Kaufman, Jay Kristoff";"2015";"0553499114"
"608";"The Long Haul ";"Jeff Kinney";"2014";"141971189X"
"609";"Exit to Eden";"Anne Rampling, Anne Rice";"1985";"0727853414"
"610";"The Fold";"Peter Clines";"2015";"0553418297"
"611";"Even Now";"Karen Kingsbury";"2005";"0310247535"
"612";"Skellig";"David Almond";"1998";"0440229081"
"613";"The Gashlycrumb Tinies";"Edward Gorey";"1963";"0747541604"
"614";"Lucky You";"Carl Hiaasen";"1991";"0330369032"
"615";"A Stolen Life";"Jaycee Dugard";"2011";"1451629184"
"616";"Man and Boy";"Tony Parsons";"1999";"0743225082"
"617";"The Giving Tree";"Shel Silverstein";"1964";"0060256656"
"618";"The Selection";"Kiera Cass";"2012";"0062059939"
"619";"Lord of the Flies ";"William Golding";"1954";"0140283331"
"620";"My Sunshine Away";"M.O. Walsh";"2015";"0399169520"
"621";"The Last Continent";"Terry Pratchett";"1998";"0552154180"
"622";"Castle in the Air";"Diana Wynne Jones";"1990";"0064473457"
"623";"Winter Stroll";"Elin Hilderbrand";"2015";"0316261130"
"624";"Wedding Night";"Sophie Kinsella";"2013";"0812984277"
"625";"Sever";"Lauren DeStefano";"2013";"1442409096"
"626";"A Single Man";"Christopher Isherwood";"1964";"0816638624"
"627";"The Raven King";"Maggie Stiefvater";"2016";"0545424984"
"628";"Fire Sea";"Margaret Weis, Tracy Hickman";"1991";"0553295411"
"629";"Night Road";"Kristin Hannah";"2011";"0312364423"
"630";"Eyes of Prey";"John Sandford";"1991";"0425214435"
"631";"Labyrinth";"Kate Mosse";"2005";"0425213978"
"632";"Rock Chick";"Kristen Ashley";"2008";"1849231842"
"633";"Hallowe'en Party";"Agatha Christie";"1969";"0007120680"
"634";"The Scorpio Races";"Maggie Stiefvater";"2011";"054522490X"
"635";"Moon Called";"Patricia Briggs";"2006";"0441013813"
"636";"Proven Guilty";"Jim Butcher";"2006";"0451461037"
"637";"Rough Country";"John Sandford";"2009";"0399155988"
"638";"Nineteen Minutes";"Jodi Picoult";"2007";"0743496728"
"639";"Fall on Your Knees";"Ann-Marie MacDonald";"1996";"0743466527"
"640";"Then Came You";"Jennifer Weiner";"2010";"1451617720"
"641";"The Mixed-Up Chameleon";"Eric Carle";"1975";"0694011479"
"642";"Weaveworld";"Clive Barker";"1987";"0007117140"
"643";"Switched";"Amanda Hocking";"2010";"1453688935"
"644";"The Underworld";"Jessica Sorensen";"2011";"1463756976"
"645";"The Passion of Artemisia";"Susan Vreeland";"2001";"0142001821"
"646";"Catching Jordan";"Miranda Kenneally";"2011";"1402262272"
"647";"Paradise Kiss 1";"Ai Yazawa";"2000";"1931514607"
"648";"Open Season";"Linda Howard";"2001";"0671027581"
"649";"Dune Messiah ";"Frank Herbert";"1969";"0441172695"
"650";"Heat Rises";"Richard Castle";"2011";"1401324436"
"651";"Fly Away Home";"Jennifer Weiner";"2010";"0743294270"
"652";"Starship Troopers";"Robert A. Heinlein";"1959";"0441783589"
"653";"Apollyon";"Jennifer L. Armentrout";"2013";"1937053164"
"654";"From Here to Eternity";"James  Jones";"1951";"0517223007"
"655";"Rumor Has it";"Jill Mansell";"2009";"0755328175"
"656";"Dark Angel";"V.C. Andrews";"1986";"067172939X"
"657";"Succubus Dreams ";"Richelle Mead";"2008";"0758216432"
"658";"The Space Between Us";"Thrity Umrigar";"2006";"006079156X"
"659";"The Paris Architect";"Charles Belfoure";"2013";"1402284314"
"660";"The Circle";"Dave Eggers";"2013";"0385351399"
"661";"Feast of Fools";"Rachel Caine";"2008";"0451224639"
"662";"War Horse";"Michael Morpurgo";"1982";"0439796636"
"663";"Lover at Last";"J.R. Ward";"2013";"0451239350"
"664";"Sudden Prey";"John Sandford";"1996";"0425157539"
"665";"A Game of Thrones";"George R.R. Martin";"1996";"0553588486"
"666";"Nation";"Terry Pratchett";"2008";"0061433012"
"667";"Room";"Emma Donoghue";"2010";"0316098337"
"668";"Spell Bound";"Rachel Hawkins";"2012";"1423121325"
"669";"Mariana";"Susanna Kearsley";"1994";"0553573764"
"670";"Pretty Girls";"Karin Slaughter";"2015";"0062430874"
"671";"Are You My Mother?";"P.D. Eastman";"1960";"0001713221"
"672";"Love Medicine";"Louise Erdrich";"1984";"0060786469"
"673";"Devil May Cry";"Sherrilyn Kenyon";"2007";"0312369506"
"674";"Shantaram";"Gregory David Roberts";"2003";"192076920X"
"675";"Luck in the Shadows";"Lynn Flewelling";"1996";"0553575422"
"676";"The Day of the Jackal";"Frederick Forsyth";"1971";"0553266306"
"677";"The Stainless Steel Rat";"Harry Harrison";"1961";"1857984986"
"678";"The Hotel New Hampshire";"John Irving";"1981";"0552992097"
"679";"The Woman in Cabin 10";"Ruth Ware";"2016";"1501132938"
"680";"Nobody's Fool";"Richard Russo";"1993";"0679753338"
"681";"Bridge to Haven";"Francine Rivers";"2014";"1414368186"
"682";"A Tree Grows In Brooklyn ";"Betty  Smith";"1943";"0061120073"
"683";"Great House";"Nicole Krauss";"2010";"0393079988"
"684";"Ramona Quimby, Age 8";"Beverly Cleary";"1981";"0440800463"
"685";"Fool";"Christopher Moore";"2009";"0060590319"
"686";"Moriarty";"Anthony Horowitz";"2014";"0062377183"
"687";"The Turner House";"Angela Flournoy";"2015";"0544303164"
"688";"The Rivers of Zadaa";"D.J. MacHale";"2005";"0689869126"
"689";"You Had Me At Hello";"Mhairi McFarlane";"2012";"000748805X"
"690";"Fool Moon ";"Jim Butcher";"2001";"0451458125"
"691";"Quicksilver";"Neal Stephenson";"2003";"0060593083"
"692";"What Happened to Goodbye";"Sarah Dessen";"2011";"0670012947"
"693";"The Body Farm";"Patricia Cornwell";"1994";"0425201449"
"694";"The Merchant of Death";"D.J. MacHale";"2002";"0743437314"
"695";"The Son of Sobek";"Rick Riordan";"2013";"1423194551"
"696";"The Complete Maus";"Art Spiegelman";"1986";"0141014083"
"697";"Insatiable";"Meg Cabot";"2010";"006173506X"
"698";"High Noon";"Nora Roberts";"2007";"0399154345"
"699";"Angels";"Marian Keyes";"2002";"0060512148"
"700";"Once a Runner";"John L. Parker Jr.";"1978";"0915297019"
"701";"A Million Suns ";"Beth Revis";"2012";"159514398X"
"702";"Behind Her Eyes";"Sarah Pinborough";"2017";"125011117X"
"703";"The Yearling";"Marjorie Kinnan Rawlings";"1930";"0689846231"
"704";"Party Princess";"Meg Cabot";"2006";"0060724552"
"705";"No Mercy";"Sherrilyn Kenyon";"2010";"0312546564"
"706";"Rhett Butler's People";"Donald McCaig";"2007";"023070395X"
"707";"Scorpia";"Anthony Horowitz";"2004";"0142405787"
"708";"L is for Lawless";"Sue Grafton";"1994";"0449221490"
"709";"Rainbow Boys";"Alex   Sanchez";"2001";"0689857705"
"710";"The Tenth Insight ";"James Redfield";"1996";"0446674575"
"711";"Presumed Innocent";"Scott Turow";"1986";"0446350982"
"712";"Thunderstruck";"Erik Larson";"2006";"1400080665"
"713";"The Shoemaker's Wife";"Adriana Trigiani";"2012";"0061257095"
"714";"A Little Life";"Hanya Yanagihara";"2015";"0385539258"
"715";"Glitter and Glue";"Kelly Corrigan";"2014";"034553283X"
"716";"Gathering Prey";"John Sandford";"2015";"0399168796"
"717";"Perfect Chemistry";"Simone Elkeles";"2008";"0802798233"
"718";"The High King ";"Lloyd Alexander";"1968";"080508052X"
"719";"The Astronaut Wives Club";"Lily Koppel";"2013";"1455503258"
"720";"When Calls the Heart";"Janette Oke";"1983";"0764200119"
"721";"The Sum of All Men";"David Farland";"1998";"0812541626"
"722";"Lost";"Gregory Maguire, Douglas Smith";"2001";"0060988649"
"723";"The Naked Face";"Sidney Sheldon";"1970";"0446321214"
"724";"Underworld";"Don DeLillo";"1997";"0330369954"
"725";"This Savage Song";"Victoria Schwab";"2016";"0062380877"
"726";"The Dragonbone Chair";"Tad Williams";"1988";"0756402697"
"727";"The Fault in Our Stars";"John Green";"2012";"0525478817"
"728";"Tiger's Voyage";"Colleen Houck";"2011";"1450595987"
"729";"The Wasp Factory";"Iain Banks";"1984";"0684853159"
"730";"Split Second";"David Baldacci";"2003";"0446614459"
"731";"Blindsighted";"Karin Slaughter";"2001";"0380820889"
"732";"Since You've Been Gone";"Morgan Matson";"2014";"1442435003"
"733";"Mirror Dance";"Lois McMaster Bujold";"1994";"0671876465"
"734";"Angelology";"Danielle Trussoni";"2010";"0670021474"
"735";"Blameless";"Gail Carriger";"2010";"0316074152"
"736";"L'isola del giorno prima";"Umberto Eco";"1994";"0156030373"
"737";"Diamonds are Forever";"Ian Fleming";"1956";"0142002054"
"738";"Up From the Grave ";"Jeaniene Frost";"2014";"0062076116"
"739";"Singularity Sky";"Charles Stross";"2003";"1841493341"
"740";"Waiting to Exhale";"Terry McMillan";"1992";"0451217454"
"741";"The Red Badge of Courage";"Stephen Crane";"1871";"1580495869"
"742";"River Marked";"Patricia Briggs";"2011";"1841497975"
